back,front
"From the war perspective: strategy is planning troops movements. ships, aircraft, etc... into <b>favourable</b> <b>positions</b>. A plan of action in business or politics.",War perspective of strategy
"Sun Tzu (The Art of The War ~500 B.C.) identified 10 factors decisive 4 victory:<div><ol><li style=""text-align: left;""><b>Invincibility lies in the <u>defence</u>, the possibility of victory in the <u>attack</u></b></li><li style=""text-align: left;""><b>Know the enemy and yourself</b></li><li style=""text-align: left;"">Strike only when the situation assures victory</li><li style=""text-align: left;"">Strike the enemy when he is least prepared</li><li style=""text-align: left;"">Weight the situation before moving</li><li style=""text-align: left;"">Be flexible</li><li style=""text-align: left;""><b>Recognise the hazard and the weather</b></li><li style=""text-align: left;"">Deceive the enemy</li><li style=""text-align: left;"">Surprise the enemy</li><li style=""text-align: left;"">Separate the enemy from his allies</li></ol></div>",Military strategy by Sun Tzu
"Ken Ohmae, The mindset of the Strategist, 1983:<div><ul><li style=""text-align: left;""><font size=""2"">Business strategy is all about <b>competitive advantage</b>: in business strategy, the purpose of strategic planning is to enable a company to gain, as <u>efficient</u> as possible, a <b>sustainable</b> edge over its competitors.<br></font></li><li style=""text-align: left;""><font size=""2"">Corporate strategy thus implies an attempt to <b>alter the company's strength</b> relative to that of its competitors in most <u>efficient</u> way.</font><br></li></ul></div>",<div>Ken Ohmae strategy definition</div>
"Henderson, The origin of strategy, 1989:<div><br><div style=""text-align: left;"">Strategy is a <u>deliberate search of a plan of action</u> that will develop a business's competitive advantage and compound it. The differences between you and your competitors are the basis of your <b>advantage</b>.</div></div><div style=""text-align: left;""><br></div><div style=""text-align: left;""><u>The objective is to enlarge the scope of your advantage, which can only happen at someone else's expenses</u></div><div style=""text-align: left;""><br></div>",Henderson's strategy definition
"A decision such that:<div style=""text-align: left;""><ol><li>Has <b>long term</b>, <b>significant</b> and <b>non-reversible</b> effects on the <b>final goal</b> of the organisation (decision maker).</li><li>(Usually) requires <b>large amount of resources</b>.</li><li>Requires <b>top management involved</b>.</li></ol></div>",Strategic decision
"<font size=""2"">A strategy is an <u>integrated</u> and <u>comprehensive</u> plan such that:</font><div><ol><li style=""text-align: left;""><font size=""2"">Identifies the <u><b>scope</b></u> and <u><b>directions</b></u> of the organisation (decision maker).</font></li><li style=""text-align: left;""><font size=""2"">It aimed at obtaining a <b><u>long term</u> performance superior to competitors</b> (with respect to a goal).</font></li><li style=""text-align: left;""><font size=""2"">It's a <u>coherent <b>set of strategic decisions</b></u>.</font></li></ol></div>",Strategy definition (w.r.t. Strategic decisions)
"<ol><li style=""text-align: left;""><font size=""1""><b>Orientation</b> phase :: <u>Goals</u>, vision, mission, <u>economic values</u> (+ Ghezzi: business boundaries)</font></li><li style=""text-align: left;""><font size=""1""><b>Analysis</b>/<b>Diagnosis</b> phase :: <u>SWOT</u> Analysis:</font><ul>
    <li style=""text-align: left;""><font size=""1""><u>External</u> analysis: Opportunities and threats</font></li><li style=""text-align: left;""><font size=""1""><u>Internal</u> analysis: Strengths and weaknesses</font></li>
</ul></li><li style=""text-align: left;""><font size=""1""><u>Generation of strategic alternatives</u> (Strategies and strategic decisions)</font></li><li style=""text-align: left;""><font size=""1""><b>Decision making</b> phase: <u>Evaluation and choice</u> of strategic alternatives</font></li><li style=""text-align: left;""><font size=""1"">(Marketing Mix, Ghezzi)</font></li><li style=""text-align: left;""><font size=""1""><b>Implementation</b> phase: <u>Implementation</u></font></li><li style=""text-align: left;""><font size=""1""><b>Monitoring</b> phase: <u>Control</u> (compare expected performance with actual ones)</font></li></ol><div style=""text-align: left;""><font size=""1"">(Ideally a sequential flow... in practice different steps could be touched multiple times and in different order. Try to follow each step at least once.)</font></div>",Strategic decision process: logic flow
"<div style=""text-align: left;""><div>Economic, social, political and technological <b>factors</b>&nbsp;that <u>influence</u> the company's <b>decisions</b> and <b>performance</b></div></div>",External environment includes:...
"<ol><li style=""text-align: left;"">The company's values and goals</li><li style=""text-align: left;"">The company's resources and capabilities</li><li style=""text-align: left;"">The company's organisational structures and systems</li></ol>",Internal environment includes:
"<div>It's a statement that express the aspirations of a company</div><div><br></div><div><font size=""1"">(Also known as industry foresight)</font></div><div><font size=""1""><br></font></div><div><font size=""1"">E.g. Microsoft's vision&nbsp;in the late ’80: <i>""A chicken in every hoven, and a computer in every house""</i></font></div>",Vision
